STT;Dia;GDCD;Hoa;Li;Ma_mon_ngoai_ngu;Ngoai_ngu;Sinh;Su;Toan;Van;sbd;diem to hop;Diem trung binh;Diem xet tot nghiep;Dieu kien tot nghiep
328;;;7.75;4.75;N1;5.8;7.5;;7.4;6.5;51000332;6.7;8.6;7.8;Dat
331;7;9.25;;;N1;5.8;;5.75;6.4;7;51000328;7.3;7.8;7.6;Dat
333;7.5;8;;;N1;6.2;;4.5;5.4;6.75;51000334;6.7;6.2;6.8;Dat
334;;;4;6.25;N1;6.2;3.5;;6.4;5;51000333;4.6;9.1;7.2;Dat
335;7.5;8.75;;;N1;4.6;;5.75;4.4;8;51000337;7.3;6.5;6.8;Dat
336;5.5;7.5;;;N1;6;;5;7;7;51000335;6;7.7;7.5;Dat
337;6.75;8;;;N1;6.6;;4.5;6.8;6.25;51000338;6.4;7.6;7.4;Dat
338;;;5;5.75;N1;5.8;3.75;;7.4;5;51000341;4.8;7.7;6.9;Dat
340;7.75;8.75;;;N1;7.8;;7.5;7;6.75;51000342;8;8.2;8.2;Dat
341;;;4.25;7;N1;6.4;3.5;;7.4;4.25;51000339;4.9;6.4;6.5;Dat
342;6.25;7.25;;;N1;2.2;;3.75;5;6.25;51000340;5.8;8.5;6.5;Dat
343;;;5.25;8;N1;7.6;4.75;;7.2;7;51000344;6;9.4;8.3;Dat
